erlang index: 33, erlang: 34000, general blocking: 0.00239998, BBP: 0.0075167, Total current utilization: 0.265381, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 34, erlang: 35000, general blocking: 0.00310997, BBP: 0.0097404, Total current utilization: 0.273068, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 35, erlang: 36000, general blocking: 0.00330997, BBP: 0.0103295, Total current utilization: 0.278371, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 36, erlang: 37000, general blocking: 0.00430996, BBP: 0.0134056, Total current utilization: 0.281818, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 37, erlang: 38000, general blocking: 0.00488995, BBP: 0.0152408, Total current utilization: 0.286819, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 38, erlang: 39000, general blocking: 0.00593994, BBP: 0.018548, Total current utilization: 0.290749, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 39, erlang: 40000, general blocking: 0.00630994, BBP: 0.0196696, Total current utilization: 0.295241, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 40, erlang: 41000, general blocking: 0.00742993, BBP: 0.0231587, Total current utilization: 0.299173, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 41, erlang: 42000, general blocking: 0.00774992, BBP: 0.0241051, Total current utilization: 0.303878, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 42, erlang: 43000, general blocking: 0.00830992, BBP: 0.0256169, Total current utilization: 0.306832, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 43, erlang: 44000, general blocking: 0.0095699, BBP: 0.0297307, Total current utilization: 0.310823, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 44, erlang: 45000, general blocking: 0.0105999, BBP: 0.0326959, Total current utilization: 0.314468, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
