erlang index: 31001, erlang: 31001, general blocking: 0.0909891, BBP: 0, Total current utilization: 0.350355, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 32001, erlang: 32001, general blocking: 0.0929791, BBP: 0, Total current utilization: 0.356511, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 33001, erlang: 33001, general blocking: 0.095769, BBP: 0, Total current utilization: 0.362807, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.598, Max XT for modulation QPSK: -20.6192
erlang index: 34001, erlang: 34001, general blocking: 0.099599, BBP: 0, Total current utilization: 0.365506, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.1865, Max XT for modulation QPSK: -20.6192
erlang index: 35001, erlang: 35001, general blocking: 0.101789, BBP: 0, Total current utilization: 0.371888, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.1865, Max XT for modulation QPSK: -20.6192
erlang index: 36001, erlang: 36001, general blocking: 0.104109, BBP: 0, Total current utilization: 0.375556, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.1865, Max XT for modulation QPSK: -20.6192
erlang index: 37001, erlang: 37001, general blocking: 0.106529, BBP: 0, Total current utilization: 0.379032, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 38001, erlang: 38001, general blocking: 0.108219, BBP: 0, Total current utilization: 0.38488, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 39001, erlang: 39001, general blocking: 0.110949, BBP: 0, Total current utilization: 0.389088, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 40001, erlang: 40001, general blocking: 0.114059, BBP: 0, Total current utilization: 0.391625, Blocked by XT: 0, La ruta mas larga es de: 10300, Max XT for modulation 16QAM: -27.1635, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
