erlang index: 51, erlang: 52000, general blocking: 0.00821992, BBP: 0.0257447, Total current utilization: 0.33663, Blocked by XT: 133, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 52, erlang: 53000, general blocking: 0.00928991, BBP: 0.0290959, Total current utilization: 0.340825, Blocked by XT: 142, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 53, erlang: 54000, general blocking: 0.0097599, BBP: 0.0305679, Total current utilization: 0.341727, Blocked by XT: 133, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 54, erlang: 55000, general blocking: 0.0110499, BBP: 0.0346082, Total current utilization: 0.344878, Blocked by XT: 89, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 55, erlang: 56000, general blocking: 0.0123699, BBP: 0.0387423, Total current utilization: 0.346554, Blocked by XT: 166, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 56, erlang: 57000, general blocking: 0.0128599, BBP: 0.040277, Total current utilization: 0.348884, Blocked by XT: 170, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 57, erlang: 58000, general blocking: 0.0145299, BBP: 0.0455074, Total current utilization: 0.352333, Blocked by XT: 163, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 58, erlang: 59000, general blocking: 0.0150098, BBP: 0.0470107, Total current utilization: 0.355411, Blocked by XT: 192, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 59, erlang: 60000, general blocking: 0.0158398, BBP: 0.0496103, Total current utilization: 0.356118, Blocked by XT: 178, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 60, erlang: 61000, general blocking: 0.0174198, BBP: 0.0545587, Total current utilization: 0.359151, Blocked by XT: 179, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
erlang index: 61, erlang: 62000, general blocking: 0.0177498, BBP: 0.0555923, Total current utilization: 0.360817, Blocked by XT: 207, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.0176
